DATE,EXP4621
1992-01-01,1.3
1992-02-01,66.4
1992-03-01,161.3
1992-04-01,178.4
1992-05-01,158.0
1992-06-01,191.1
1992-07-01,257.8
1992-08-01,263.0
1992-09-01,191.7
1992-10-01,257.7
1992-11-01,243.1
1992-12-01,142.7
1993-01-01,152.0
1993-02-01,138.9
1993-03-01,148.4
1993-04-01,223.5
1993-05-01,312.7
1993-06-01,180.2
1993-07-01,241.6
1993-08-01,203.0
1993-09-01,189.4
1993-10-01,366.3
1993-11-01,416.0
1993-12-01,398.3
1994-01-01,188.4
1994-02-01,142.5
1994-03-01,209.0
1994-04-01,388.9
1994-05-01,203.9
1994-06-01,174.9
1994-07-01,154.7
1994-08-01,176.3
1994-09-01,350.1
1994-10-01,182.1
1994-11-01,195.8
1994-12-01,211.4
1995-01-01,178.3
1995-02-01,195.2
1995-03-01,216.8
1995-04-01,220.1
1995-05-01,249.4
1995-06-01,265.9
1995-07-01,229.6
1995-08-01,232.5
1995-09-01,258.2
1995-10-01,250.0
1995-11-01,270.7
1995-12-01,256.7
1996-01-01,243.2
1996-02-01,355.2
1996-03-01,329.9
1996-04-01,277.2
1996-05-01,273.4
1996-06-01,237.5
1996-07-01,232.1
1996-08-01,323.1
1996-09-01,247.6
1996-10-01,282.0
1996-11-01,272.3
1996-12-01,272.3
1997-01-01,234.2
1997-02-01,222.0
1997-03-01,262.4
1997-04-01,325.1
1997-05-01,259.2
1997-06-01,244.6
1997-07-01,263.7
1997-08-01,255.2
1997-09-01,309.1
1997-10-01,294.3
1997-11-01,444.5
1997-12-01,250.5
1998-01-01,247.1
1998-02-01,257.1
1998-03-01,556.5
1998-04-01,296.6
1998-05-01,362.8
1998-06-01,460.2
1998-07-01,344.9
1998-08-01,288.0
1998-09-01,108.5
1998-10-01,246.3
1998-11-01,208.7
1998-12-01,176.0
1999-01-01,78.2
1999-02-01,89.0
1999-03-01,110.9
1999-04-01,113.4
1999-05-01,125.8
1999-06-01,113.7
1999-07-01,144.6
1999-08-01,197.2
1999-09-01,486.9
1999-10-01,296.5
1999-11-01,161.7
1999-12-01,141.9
2000-01-01,343.2
2000-02-01,128.5
2000-03-01,127.3
2000-04-01,107.5
2000-05-01,134.7
2000-06-01,160.6
2000-07-01,170.3
2000-08-01,173.9
2000-09-01,189.2
2000-10-01,196.2
2000-11-01,202.9
2000-12-01,158.2
2001-01-01,198.3
2001-02-01,156.9
2001-03-01,223.5
2001-04-01,332.9
2001-05-01,272.6
2001-06-01,212.5
2001-07-01,259.3
2001-08-01,185.5
2001-09-01,196.4
2001-10-01,208.6
2001-11-01,262.7
2001-12-01,207.0
2002-01-01,185.5
2002-02-01,229.9
2002-03-01,195.9
2002-04-01,197.1
2002-05-01,151.3
2002-06-01,194.0
2002-07-01,248.4
2002-08-01,222.5
2002-09-01,142.1
2002-10-01,254.0
2002-11-01,207.5
2002-12-01,168.7
2003-01-01,157.08948
2003-02-01,145.71609
2003-03-01,190.281684
2003-04-01,194.285825
2003-05-01,257.915267
2003-06-01,183.617768
2003-07-01,224.27276
2003-08-01,199.570696
2003-09-01,200.191407
2003-10-01,316.367034
2003-11-01,195.967485
2003-12-01,181.942715
2004-01-01,158.718398
2004-02-01,200.599756
2004-03-01,258.455811
2004-04-01,243.691125
2004-05-01,228.03527
2004-06-01,237.293702
2004-07-01,235.339071
2004-08-01,233.347634
2004-09-01,321.70019
2004-10-01,285.362068
2004-11-01,280.070322
2004-12-01,278.383262
2005-01-01,235.861602
2005-02-01,300.418708
2005-03-01,363.52007
2005-04-01,338.266965
2005-05-01,393.196432
2005-06-01,305.915569
2005-07-01,289.605465
2005-08-01,349.907732
2005-09-01,335.013278
2005-10-01,356.360458
2005-11-01,403.718757
2005-12-01,290.485225
2006-01-01,301.134766
2006-02-01,343.121064
2006-03-01,382.276969
2006-04-01,468.687631
2006-05-01,442.428057
2006-06-01,314.959687
2006-07-01,377.405081
2006-08-01,378.494871
2006-09-01,420.975162
2006-10-01,406.835834
2006-11-01,446.695925
2006-12-01,417.31021
2007-01-01,383.216713
2007-02-01,437.423714
2007-03-01,558.005171
2007-04-01,551.504228
2007-05-01,616.890009
2007-06-01,646.819323
2007-07-01,537.353614
2007-08-01,912.544858
2007-09-01,600.40764
2007-10-01,628.086314
2007-11-01,839.334384
2007-12-01,571.681699
2008-01-01,560.210628
2008-02-01,757.372171
2008-03-01,811.421036
2008-04-01,996.605831
2008-05-01,787.147254
2008-06-01,746.256049
2008-07-01,814.877008
2008-08-01,976.3067
2008-09-01,851.377875
2008-10-01,797.083163
2008-11-01,677.707714
2008-12-01,558.216335
2009-01-01,393.956274
2009-02-01,340.55252
2009-03-01,420.527128
2009-04-01,313.813264
2009-05-01,478.777996
2009-06-01,555.781229
2009-07-01,510.450995
2009-08-01,431.3445
2009-09-01,496.692498
2009-10-01,554.17611
2009-11-01,432.305555
2009-12-01,403.703424
2010-01-01,314.390047
2010-02-01,368.394375
2010-03-01,463.583346
2010-04-01,446.693993
2010-05-01,496.035449
2010-06-01,474.915949
2010-07-01,502.41072
2010-08-01,556.23362
2010-09-01,528.148017
2010-10-01,585.403083
2010-11-01,653.690623
2010-12-01,603.766236
