Date,Average_Hourly_Earning,Trade_Volume_Pct_Change_Index_Value,US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,CPI_Value_Inflation,Nominal_Broad_US_Dollar_Index,producer_price_index_all_commodities,Adjusted_Closing_Price,US_Export_to_Russia,US_Unemployment_Rate,US_Consumer_Sentiment,US_Gasoline_Dollars_Per_Barrel,Price,US_Mean_Monthly_Market_Volatility,Russia_Ukraine_Date_Flag,Covid_Flag
2013-01-01,23.75,0.004045454545454546,95.0,0.14,230.28,90.8255,202.5,1498.11,692.91996,8.0,73.8,3.319,30.03,13.505238095238095,0,0
2013-02-01,23.78,-0.0002499999999999999,95.01,0.15,232.166,91.5509,204.3,1514.68,1008.62449,7.7,77.6,3.67,30.65,14.072631578947368,0,0
2013-03-01,23.8,0.0094,95.54,0.14,232.773,92.4132,204.0,1569.19,917.892441,7.5,78.6,3.711,31.078,13.0315,0,0
2013-04-01,23.87,-0.002476190476190476,94.41,0.15,232.531,92.0478,203.5,1597.57,1087.226442,7.6,76.4,3.57,31.128,13.967272727272727,0,0
2013-05-01,23.89,-0.0030952380952380953,94.75,0.11,232.945,92.529,204.1,1630.74,781.571515,7.5,84.5,3.615,31.922,13.493636363636364,0,0
2013-06-01,23.96,0.0187,93.82,0.09,233.504,93.2836,204.3,1606.28,781.329553,7.5,84.1,3.626,32.835,17.2715,0,0
2013-07-01,23.98,-0.004173913043478261,101.41,0.09,233.596,93.8724,204.4,1685.73,874.49955,7.3,85.1,3.591,32.96,13.974545454545455,0,0
2013-08-01,24.02,0.003142857142857143,102.96,0.08,233.877,93.7149,204.2,1632.97,941.803952,7.2,82.1,3.574,33.268,14.21,0,0
2013-09-01,24.06,0.027999999999999997,102.32,0.08,234.149,93.4706,203.9,1681.55,1068.463868,7.2,77.5,3.532,32.393,14.692000000000002,0,0
2013-10-01,24.09,-0.012217391304347824,96.18,0.09,233.546,92.4993,202.5,1756.54,1047.338991,7.2,73.2,3.344,32.083,15.407826086956522,0,0
2013-11-01,24.16,0.009380952380952382,88.7,0.08,233.069,93.3737,201.2,1805.81,950.842724,6.9,75.1,3.243,33.149,12.924000000000001,0,0
2013-12-01,24.18,0.013764705882352941,91.85,0.09,233.049,93.534,202.0,1848.36,992.233997,6.7,82.5,3.276,32.895,14.192380952380953,0,0
2014-01-01,24.23,-0.03159090909090909,89.57,0.07,233.916,94.4648,203.8,1782.59,862.359415,6.6,81.2,3.313,35.176,14.24095238095238,0,0
2014-02-01,24.33,0.00635,96.86,0.07,234.781,94.6456,205.7,1859.45,951.234941,6.7,81.6,3.356,36.05,15.47,0,0
