Cause,Effect,Lag,SSR F-Test Statistic,SSR F-Test P-Value
Trade_Volume_Pct_Change_Index_Value,US_Crude_Oil_Prices_Dollar_Per_Barrel,1,0.8405946354142457,0.3608739029756435
Trade_Volume_Pct_Change_Index_Value,US_Crude_Oil_Prices_Dollar_Per_Barrel,2,0.44004796355924103,0.6449539460878821
Trade_Volume_Pct_Change_Index_Value,US_Crude_Oil_Prices_Dollar_Per_Barrel,3,0.21297906188730087,0.8872570688577965
Trade_Volume_Pct_Change_Index_Value,US_Crude_Oil_Prices_Dollar_Per_Barrel,4,0.30970911332691997,0.8710441582754487
Trade_Volume_Pct_Change_Index_Value,US_Crude_Oil_Prices_Dollar_Per_Barrel,5,0.4813773402899026,0.7896006213394069
Trade_Volume_Pct_Change_Index_Value,US_Crude_Oil_Prices_Dollar_Per_Barrel,6,0.492100658295251,0.8131996632700668
Trade_Volume_Pct_Change_Index_Value,US_Crude_Oil_Prices_Dollar_Per_Barrel,7,0.4230443924767052,0.8862361173832316
Trade_Volume_Pct_Change_Index_Value,US_Crude_Oil_Prices_Dollar_Per_Barrel,8,0.42295579130241734,0.9051857351285053
Trade_Volume_Pct_Change_Index_Value,US_Crude_Oil_Prices_Dollar_Per_Barrel,9,0.3414733823534763,0.9590651696615551
Trade_Volume_Pct_Change_Index_Value,US_Crude_Oil_Prices_Dollar_Per_Barrel,10,0.2927236615914603,0.9815495689715794
Trade_Volume_Pct_Change_Index_Value,Federal_Rates_Monthly,1,1.0988575780041139,0.2964039865200077
Trade_Volume_Pct_Change_Index_Value,Federal_Rates_Monthly,2,0.9995033601408427,0.3708513185103287
Trade_Volume_Pct_Change_Index_Value,Federal_Rates_Monthly,3,0.7254652680847388,0.5385787067214713
Trade_Volume_Pct_Change_Index_Value,Federal_Rates_Monthly,4,0.9105493471079114,0.4600633367671966
Trade_Volume_Pct_Change_Index_Value,Federal_Rates_Monthly,5,0.7514897018340968,0.5865456875053544
